PANO,Constituency Name,Constituency ID,Constituency Type,Electorate,Valid Votes,,Region ID,County,Region,Country
7,Aldershot,E14000530,Borough,72430,46191,,E12000008,Hampshire,South East,England
8,Aldridge-Brownhills,E14000531,Borough,60215,39497,,E12000005,West Midlands,West Midlands,England
9,Altrincham and Sale West,E14000532,Borough,71511,50517,,E12000002,Greater Manchester,North West,England
11,Amber Valley,E14000533,County,69510,45717,,E12000004,Derbyshire,East Midlands,England
18,Arundel and South Downs,E14000534,County,77242,56477,,E12000008,West Sussex,South East,England
19,Ashfield,E14000535,County,77091,47409,,E12000004,Nottinghamshire,East Midlands,England
20,Ashford,E14000536,County,85177,57372,,E12000008,Kent,South East,England
21,Ashton-under-Lyne,E14000537,Borough,68343,38918,,E12000002,Greater Manchester,North West,England
22,Aylesbury,E14000538,County,80315,55419,,E12000008,Buckinghamshire,South East,England
26,Banbury,E14000539,County,86420,58008,,E12000008,Oxfordshire,South East,England
28,Barking,E14000540,Borough,73977,43041,,E12000007,London,London,England
29,Barnsley Central,E14000541,Borough,64534,36560,,E12000003,South Yorkshire,Yorkshire and The Humber,England
30,Barnsley East,E14000542,County,69135,38517,,E12000003,South Yorkshire,Yorkshire and The Humber,England
31,Barrow and Furness,E14000543,County,68338,43275,,E12000002,Cumbria,North West,England
32,Basildon and Billericay,E14000544,Borough,66347,43028,,E12000006,Essex,East,England
34,Basingstoke,E14000545,Borough,79665,53076,,E12000008,Hampshire,South East,England
35,Bassetlaw,E14000546,County,76796,49289,,E12000004,Nottinghamshire,East Midlands,England
36,Bath,E14000547,Borough,63084,47167,,E12000009,Avon,South West,England
37,Batley and Spen,E14000548,Borough,78373,50479,,E12000003,West Yorkshire,Yorkshire and The Humber,England
38,Battersea,E14000549,Borough,76111,51031,,E12000007,London,London,England
39,Beaconsfield,E14000550,County,74726,53163,,E12000008,Buckinghamshire,South East,England
40,Beckenham,E14000551,Borough,67439,48803,,E12000007,London,London,England
41,Bedford,E14000552,Borough,69311,46086,,E12000006,Bedfordshire,East,England
49,Bermondsey and Old Southwark,E14000553,Borough,83298,51424,,E12000007,London,London,England
50,Berwick-upon-Tweed,E14000554,County,56969,40423,,E12000001,Northumberland,North East,England
52,Bethnal Green and Bow,E14000555,Borough,82727,52924,,E12000007,London,London,England
53,Beverley and Holderness,E14000556,County,80805,52677,,E12000003,Humberside,Yorkshire and The Humber,England
54,Bexhill and Battle,E14000557,County,78796,55218,,E12000008,East Sussex,South East,England
55,Bexleyheath and Crayford,E14000558,Borough,64828,43685,,E12000007,London,London,England
56,Birkenhead,E14000559,Borough,62410,39144,,E12000002,Merseyside,North West,England
57,"Birmingham, Edgbaston",E14000560,Borough,65591,41293,,E12000005,West Midlands,West Midlands,England
58,"Birmingham, Erdington",E14000561,Borough,65128,34684,,E12000005,West Midlands,West Midlands,England
59,"Birmingham, Hall Green",E14000562,Borough,76330,47046,,E12000005,West Midlands,West Midlands,England
60,"Birmingham, Hodge Hill",E14000563,Borough,75302,41039,,E12000005,West Midlands,West Midlands,England
61,"Birmingham, Ladywood",E14000564,Borough,68128,35916,,E12000005,West Midlands,West Midlands,England
62,"Birmingham, Northfield",E14000565,Borough,71428,42461,,E12000005,West Midlands,West Midlands,England
63,"Birmingham, Perry Barr",E14000566,Borough,69943,41260,,E12000005,West Midlands,West Midlands,England
