,,,,,Electorate and turnout ,,,,,,,POSTAL VOTES (Form K),,,,,,,,,,,,,,,,,,,Additional data ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,A. Issue of postal ballot papers,,,,,B (1). Reciept of and replacement postal ballot papers,,,,,,,,,B (2). Receipt of postal ballot papers - Personal Identifiers,,,C. Count of postal ballot papers,,Proxies and Waivers,,,Postal votes rejected for: ,,,,,,,,Covering envelopes returned: ,,Postal vote issue dates,,Applications: December - May,,,Applications May - June,,,Electors added ,,,,Overseas applications ,,,Deadline extension ,,,,,,
Area ID,ONS area code,Electoral Region ,Region Code,Voting Area,Electorate,Votes cast,Valid votes cast,Ballot Box Turnout ,Valid votes turnout ,Rejected ballots,Rejected votes percentage,Total postal ballots issued under 71,"Total issued under 77, 78 78A",Total cancelled,Total issued (A1-3),Total cancelled under para 78A,Total number of covering envelopes received before the close of poll,Number of covering envelopes received after the close of poll ,Covering envelopes returned spoilt or cancelled in time for another to be issued,Idenfitied as lost or not received in time for another to be issued,Cancelled and retrieved in time for another in time for another ballot paper to be issued,Number of postal ballot papers returned as spoilt too late for another to be issued,Number of covering envelopes returned as undelivered,Number of covering envelopes not received by the Counting Officer ,Total Number of Postal Votes Received,Number of covering envelopes set aide for the verification of personal identifiers on postal voting statements,Number of PVS subject to verification procedure rejected as not completed ,Number of PVS rejected following verification procedures due to personal identifier mismatch,Number of ballot papers returned by postal voters that were included in the count,Rejected postal ballots,Total proxies,Emergency proxies,Postal waivers ,Postal Vote Rejected No signature,Postal Vote Rejected No DOB,Postal Vote Rejected Both Signature and dob missing,Postal Vote Rejected Mismatched signature,Postal Vote Rejected Mismatched DOB,Postal Vote Rejected Both mismatched,Postal Vote Rejected Ballot paper unreturned,Postal Vote Rejected PVS unreturned,Covering envelopes returned On polling day before 10pm,Covering envelopes returned The day after polling day before 10pm,Postal vote issue date Overseas,Postal vote issue date Domestic,Postal Vote Applications Received between 1/12/2015-14/05/2016,Duplicate applications received 201512-01 to 2016-05-14,Duplicates as percentage of postal vote applications received,Applications received 15/05/2016-09/06/2016,Duplicate applications received 15/05/2016-09/06/2016,Duplicates (% of applications received) ,Electors added 2015-12-01 to 2016-05-14,Electors added 2016-05-15 to 2016-06-09,Applications to vote received after the deadline ,People who tried to vote but were found not to be registered,Overseas applications 2016-03-17 to 2016-06-09,Additions,Appliations received after the deadline,Applications received 08/06/2016-09/06/2016,Duplicate applications received 08/06/2016 - 09/06/2016,Duplicates (% of applications received) ,,Proportion of electorate issued with a postal vote (%) ,Polling station turnout (%),Postal vote turnout (%) (envelopes returned / envelopes issued)
1,E12000007,London,E09000001,City of London,"5,987","4,405","4,399",73.6,73.5,6,0.14,"1,892",9,0,"1,901",13,"1,503",2,1,8,0,0,5,382,"1,901","1,503",7,6,"1,490",13,90,3,0,3,2,2,4,2,0,0,0,68,2,22/05/2016,26/05/2016,982,295,30%,582,107,18%,648,465,16,2,111,100,3,0,0,,,32%,71%,79%
2,E12000007,London,E09000002,Barking and Dagenham,"115,812","73,941","73,880",63.9,63.8,61,0.08,"17,351",153,0,"17,504",127,"14,487",336,0,127,0,0,20,"2,534","17,504","14,487",124,462,"13,821",689,344,11,74,11,105,8,341,93,28,0,0,"1,481",0,23/05/2016,01/06/2016,"13,211","3,986",30%,"9,138","4,284",47%,"8,871","1,820",901,11,211,128,9,"1,614",809,50%,,15%,61%,83%
3,E12000007,London,E09000003,Barnet,"223,467","161,218","161,033",72.1,72.1,185,0.11,"48,148",171,0,"48,319",504,"41,229",554,34,139,0,0,207,"6,156","48,319","41,229",191,738,"39,967","1,090","2,494",156,178,72,5,46,164,460,114,163,68,"3,285",150,23/05/2016,31/05/2016,"16,735","7,200",43%,"19,167","11,300",59%,"8,882","7,867","3,000",299,"2,725","2,313",26,"2,554",2199,86%,,22%,69%,85%
4,E12000007,London,E09000004,Bexley,"170,779","128,570","128,489",75.3,75.2,81,0.06,"29,206",687,0,"29,893",687,"26,245",52,1,60,0,0,72,"3,463","29,893","26,245",148,300,"25,173","1,072","1,220",37,413,81,67,42,174,101,25,33,33,"1,780",24,24/05/2016,31/05/2016,"13,158","3,830",29%,"9,994","4,143",41%,"8,081","4,908","1,302",7,545,313,25,,,,,18%,73%,88%
5,E12000007,London,E09000005,Brent,"186,793","121,671","121,404",65.1,65,267,0.22,"24,108",90,0,"24,198",49,"20,061",91,0,41,0,0,182,"3,823","24,198","20,061",27,132,"19,675",386,"1,236",33,124,7,5,13,62,49,21,2,3,"1,169",0,26/05/2016,26/05/2016,"25,477","3,090",12%,"13,430","4,449",33%,"17,316","5,814","2,248",0,417,407,48,"1,830",664,36%,,13%,63%,83%
6,E12000007,London,E09000006,Bromley,"231,473","182,570","182,432",78.9,78.8,138,0.08,"41,227",259,0,"41,486",134,"37,170",102,2,123,0,0,152,"3,937","41,486","37,170",195,255,"36,622",548,"2,413",76,141,74,70,51,100,98,57,53,45,"2,176",15,24/05/2016,26/05/2016,"22,267","7,211",32%,"18,195","7,464",41%,"13,570","4,505",951,75,"1,417",882,16,"3,288",1624,49%,,18%,77%,90%
7,E12000007,London,E09000007,Camden,"145,425","95,281","95,133",65.5,65.4,148,0.16,"26,494",263,0,"26,757",2302,"20,255",162,2,213,0,0,156,"5,969","26,757","20,255",41,193,"20,021",234,"2,750",97,41,17,14,10,56,102,35,41,44,"2,055",59,26/05/2016,29/05/2016,"8,236",215,3%,"6,144",156,3%,"8,021","5,988",458,15,"2,012","2,012",0,667,56,8%,,18%,63%,76%
8,E12000007,London,E09000008,Croydon,"245,349","171,289","171,134",69.8,69.8,155,0.09,"44,488",314,0,"44,802",134,"37,929",118,22,158,74,0,223,"6,278","44,802","37,929",98,653,"37,178",751,"1,507",30,223,12,75,6,190,371,69,2,26,928,43,22/05/2016,26/05/2016,"31,054","9,712",31%,"19,431","8,456",44%,"18,420","4,139","1,533",53,"1,183",634,24,"3,594",1722,48%,,18%,67%,85%
