ons_id,ons_region_id,constituency_name,county_name,region_name,country_name,constituency_type,declaration_time,result,first_party,second_party,electorate,valid_votes,invalid_votes,majority,con,lab,ld,ukip,green,snp,pc,dup,sf,sdlp,uup,alliance,other,other_winner
W07000049,W92000004,Aberavon,West Glamorgan,Wales,Wales,County,2017-06-09 02:41:00,Lab hold,Lab,Con,49892,33268,57,16761,5901,22662,599,1345,0,0,2761,0,0,0,0,0,0,0
W07000058,W92000004,Aberconwy,Clwyd,Wales,Wales,County,2017-06-09 02:31:00,Con hold,Con,Lab,45251,32150,78,635,14337,13702,941,0,0,0,3170,0,0,0,0,0,0,0
S14000001,S92000003,Aberdeen North,Scotland,Scotland,Scotland,Borough,2017-06-09 02:26:00,SNP hold,SNP,Lab,62130,36757,55,4139,8341,11031,1693,0,0,15170,0,0,0,0,0,0,522,0
S14000002,S92000003,Aberdeen South,Scotland,Scotland,Scotland,Borough,2017-06-09 03:08:00,Con gain from SNP,Con,SNP,64964,44493,63,4752,18746,9143,2610,0,0,13994,0,0,0,0,0,0,0,0
S14000003,S92000003,Airdrie and Shotts,Scotland,Scotland,Scotland,County,2017-06-09 03:10:00,SNP hold,SNP,Lab,64146,38002,47,195,8813,14096,802,0,0,14291,0,0,0,0,0,0,0,0
E14000530,E12000008,Aldershot,Hampshire,South East,England,Borough,2017-06-09 02:25:00,Con hold,Con,Lab,76205,48950,102,11473,26950,15477,3637,1796,1090,0,0,0,0,0,0,0,0,0
E14000531,E12000005,Aldridge-Brownhills,West Midlands,West Midlands,England,Borough,2017-06-09 03:16:00,Con hold,Con,Lab,60363,40235,87,14307,26317,12010,1343,0,0,0,0,0,0,0,0,0,565,0
E14000532,E12000002,Altrincham and Sale West,Greater Manchester,North West,England,Borough,2017-06-09 03:56:00,Con hold,Con,Lab,73226,52790,132,6426,26933,20507,4051,0,1000,0,0,0,0,0,0,0,299,0
W07000043,W92000004,Alyn and Deeside,Clwyd,Wales,Wales,County,2017-06-09 02:41:00,Lab hold,Lab,Con,63013,44760,84,5235,18080,23315,1077,1117,0,0,1171,0,0,0,0,0,0,0
E14000533,E12000004,Amber Valley,Derbyshire,East Midlands,England,County,2017-06-09 02:22:00,Con hold,Con,Lab,68065,45811,99,8300,25905,17605,1100,0,650,0,0,0,0,0,0,0,551,0
S14000004,S92000003,Angus,Scotland,Scotland,Scotland,County,2017-06-09 01:52:00,Con gain from SNP,Con,SNP,63840,40192,65,2645,18148,5233,1308,0,0,15503,0,0,0,0,0,0,0,0
W07000057,W92000004,Arfon,Gwynedd,Wales,Wales,County,2017-06-09 01:59:00,PC hold,PC,Lab,41367,28208,67,92,4614,11427,648,0,0,0,11519,0,0,0,0,0,0,0
S14000005,S92000003,Argyll and Bute,Scotland,Scotland,Scotland,County,2017-06-09 04:56:00,SNP hold,SNP,Con,67230,48069,69,1328,15976,6044,8745,0,0,17304,0,0,0,0,0,0,0,0
E14000534,E12000008,Arundel and South Downs,West Sussex,South East,England,County,2017-06-09 05:13:00,Con hold,Con,Lab,79478,60256,154,23883,37573,13690,4783,1668,2542,0,0,0,0,0,0,0,0,0
E14000535,E12000004,Ashfield,Nottinghamshire,East Midlands,England,County,2017-06-09 05:45:00,Lab hold,Lab,Con,78076,49993,62,441,20844,21285,969,1885,398,0,0,0,0,0,0,0,4612,0
E14000536,E12000008,Ashford,Kent,South East,England,County,2017-06-09 02:56:00,Con hold,Con,Lab,87387,59879,135,17478,35318,17840,3101,2218,1402,0,0,0,0,0,0,0,0,0
E14000537,E12000002,Ashton-Under-Lyne,Greater Manchester,North West,England,Borough,2017-06-09 03:58:00,Lab hold,Lab,Con,67674,39773,81,11295,12710,24005,646,1878,534,0,0,0,0,0,0,0,0,0
