id,name,model,type,total,majority,coalition,con,lab,ld,grn,ukip,pc,snp,ind,vacant,boundary,notes,url,last
406,"City of London",,,125,IND,IND,0,5,0,0,0,0,0,120,0,,,http://democracy.cityoflondon.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2017-09-13
405,"Isles of Scilly",,,16,IND,IND,0,0,0,0,0,0,0,16,0,,,http://committees.scilly.gov.uk/mgMemberIndex.aspx?bcr=1,2017-09-06
1,Buckinghamshire,C1,LC,49,CON,CON,41,1,4,0,0,0,0,3,0,,,https://democracy.buckscc.gov.uk/mgMemberIndex.aspx?FN=GROUPING&VW=TABLE&PIC=1,2017-09-05
2,Cambridgeshire,C1,LC,61,CON,CON,36,7,15,0,0,0,0,3,0,,,https://cmis.cambridgeshire.gov.uk/ccc_live/Councillors/tabid/63/ScreenMode/Alphabetical/Default.aspx,2017-09-05
3,Cumbria,C1,LC,84,NOC,LAB/LD,37,26,16,0,0,0,0,5,0,,"2x West Cumbria Independent Group, 4x Independent Group, 2x Independents",http://councilportal.cumbria.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2017-09-05
4,Derbyshire,C1,LC,64,CON,CON,37,24,3,0,0,0,0,0,0,,,http://www.derbyshire.gov.uk/council/councillors/,2017-09-05
5,Devon,C1,LC,60,CON,CON,42,7,7,1,0,0,0,3,0,,,http://democracy.devon.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2017-09-05
6,Dorset,C1,LC,46,CON,CON,32,1,11,2,0,0,0,0,0,,,http://dorset.moderngov.co.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2017-09-05
7,"East Sussex",C1,LC,50,CON,CON,30,4,11,0,0,0,0,5,0,,,https://democracy.eastsussex.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2017-09-05
8,Essex,C1,LC,75,CON,CON,56,6,7,1,0,0,0,5,0,,,http://cmis.essexcc.gov.uk/essexcmis5/Councillors/tabid/62/ScreenMode/Alphabetical/Default.aspx,2017-09-05
9,Gloucestershire,C1,LC,53,CON,CON,31,5,14,2,0,0,0,1,0,,"People Against Beaurocracy 1, Independent 1.",http://glostext.gloucestershire.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2017-09-05
10,Hampshire,C1,LC,78,CON,CON,56,2,19,0,0,0,0,1,0,,,http://democracy.hants.gov.uk/mgMemberIndex.aspx?bcr=1,2017-09-05
11,Hertfordshire,C1,LC,78,CON,CON,51,9,18,0,0,0,0,0,0,,,https://cmis.hertfordshire.gov.uk/hertfordshire/CountyCouncillors/tabid/63/ScreenMode/Alphabetical/Default.aspx,2017-09-05
12,Kent,C1,LC,81,CON,CON,67,5,7,1,0,0,0,1,0,,,https://democracy.kent.gov.uk/mgMemberIndex.aspx?FN=WARD&VW=LIST&PIC=0,2017-09-05
13,Lancashire,C1,LC,84,CON,CON,44,30,4,1,1,0,0,4,0,,,http://council.lancashire.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=TABLE&PIC=1,2017-09-05
14,Leicestershire,C1,LC,55,CON,CON,36,6,13,0,0,0,0,0,0,,,http://politics.leics.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2017-09-05
15,Lincolnshire,C1,LC,70,CON,CON,58,6,1,0,0,0,0,5,0,,,http://lincolnshire.moderngov.co.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2017-09-05
16,Norfolk,C1,LC,84,CON,CON,55,17,11,0,0,0,0,1,0,,,http://norfolkcc.cmis.uk.com/norfolkcc/Councillors/tabid/63/ScreenMode/Alphabetical/Default.aspx,2017-09-05
17,"North Yorkshire",C1,LC,72,CON,CON,55,4,3,0,0,0,0,10,0,,"NY Independents 9, Liberals 2, Independents 2",http://democracy.northyorks.gov.uk/Committees.aspx?councillors=1,2017-09-05
18,Northamptonshire,C1,LC,57,CON,CON,43,12,2,0,0,0,0,0,0,,,https://cmis.northamptonshire.gov.uk/cmis5live/Councillors/tabid/62/ScreenMode/Alphabetical/Default.aspx,2017-09-05
19,Nottinghamshire,C1,LC,66,NOC,CON/IND,31,23,1,0,0,0,0,11,0,,"5 Ashfield Independents, 1 Independent, 3 Mansfield Independent Forum, 1 Selston Independent",http://www.nottinghamshire.gov.uk/council-and-democracy/councillors/contact-a-councillor,2017-09-06
20,Oxfordshire,C1,LC,63,NOC,CON/IND,31,14,13,0,0,0,0,5,0,,,http://mycouncil.oxfordshire.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=TABLE&PIC=1,2017-09-05
21,Somerset,C1,LC,55,CON,CON,35,3,12,2,0,0,0,3,0,,,http://www1.somerset.gov.uk/council/councillors.asp,2017-09-05
22,Staffordshire,C1,LC,62,CON,CON,51,10,0,0,0,0,0,1,0,,,http://moderngov.staffordshire.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2017-09-13
23,Suffolk,C1,LC,75,CON,CON,52,11,5,3,0,0,0,4,0,,,http://www.suffolk.gov.uk/council-and-democracy/councillors-and-elected-representatives/find-your-councillor/?ward=&party=&name=&action=SEARCH,2017-09-13
24,Surrey,C1,LC,81,CON,CON,61,1,9,1,0,0,0,9,0,,"9 Residents Association, 8 LD & 1 GRN in Surrey Opposition Forum, 1 Independent",http://mycouncil.surreycc.gov.uk/mgMemberIndex.aspx?VW=TABLE&PIC1=&FN=,2017-09-05
25,Warwickshire,C1,LC,57,CON,CON,36,10,7,2,0,0,0,2,0,,,https://democratic.warwickshire.gov.uk/cmis5/Councillors.aspx,2017-09-05
26,"West Sussex",C1,LC,70,CON,CON,56,5,9,0,0,0,0,0,0,,,https://www.westsussex.gov.uk/location-directories/find-your-councillor/?Keyword=&Location=&politicalParty=,2017-09-06
27,Worcestershire,C1,LC,57,CON,CON,40,10,3,2,0,0,0,2,0,,,http://worcestershire.moderngov.co.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2017-09-05
28,Allerdale,D1,LC,56,NOC,LAB/IND,15,28,0,0,2,0,0,11,0,,,http://democracy.allerdale.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2017-09-05
29,Arun,D1,LC,54,CON,CON,43,1,5,0,1,0,0,3,1,,,http://www1.arun.gov.uk/cgi-bin/aruncllrs.pl?ward=all,2017-09-05
30,Ashfield,D1,LC,35,LAB,LAB,3,22,0,0,0,0,0,9,1,,"Ashfield Independents 6, Selston Parish Independents 2, Independent 1",https://democracy.ashfield-dc.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2017-09-13
31,Ashford,D1,LC,43,CON,CON,34,3,1,0,2,0,0,3,0,,"Ashford Independents 2, Independent 1",http://www.ashford.gov.uk/councillors,2017-09-06
32,"Aylesbury Vale",D1,LC,59,CON,CON,43,2,10,0,0,0,0,4,0,,,http://www.aylesburyvaledc.gov.uk/councillors/?scmOverrideRecord=21R0112Cmk,2017-09-05
33,Babergh,D1,AA,43,CON,CON,28,2,3,0,0,0,0,10,0,,"Jennie Jenkins CON ok",http://baberghmidsuffolk.moderngov.co.uk/mgMemberIndexGroup.aspx?bcr=1&g=bdcc&m=bdccw,2017-09-13
34,Barrow-in-Furness,D1,LC,36,LAB,LAB,9,26,0,0,0,0,0,1,0,,,http://www.barrowbc.gov.uk/about-the-council/councillors/borough-councillors/,2017-09-05
35,Bassetlaw,D1,LC,48,LAB,LAB,12,32,0,0,0,0,0,4,0,,,http://www.bassetlaw.gov.uk/everything-else/about-us/local-councillors/your-local-councillor.aspx,2017-09-05
36,Blaby,D1,LC,39,CON,CON,29,6,4,0,0,0,0,0,0,,,http://w3.blaby.gov.uk/decision-making/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2017-09-05
37,Bolsover,D1,LC,37,LAB,LAB,0,32,0,0,0,0,0,5,0,,,http://www.bolsover.gov.uk/index.php/your-council/committee-governance-constitution,2017-09-06
38,Boston,D1,LC,30,NOC,"CON min",13,2,0,0,9,0,0,6,0,,,http://moderngov.boston.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2017-09-05
39,Braintree,D1,LC,49,CON,CON,43,3,0,1,0,0,0,2,0,,"Halstead Residents Association 2",http://braintree.cmis.uk.com/braintree/Councillors.aspx,2017-09-05
40,Breckland,D1,LC,49,CON,CON,40,2,0,0,4,0,0,2,1,,,http://democracy.breckland.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2017-09-05
41,Broadland,D1,LC,47,CON,CON,42,0,5,0,0,0,0,0,0,,,https://www.broadland.gov.uk/councillors/name,2017-09-05
42,Bromsgrove,D1,LC,31,CON,CON,17,7,0,0,0,0,0,7,0,,"Independents 3, Wythall Residents Association 3",http://moderngovwebpublic.bromsgrove.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2017-09-05
43,Broxtowe,D1,LC,44,CON,CON,27,12,4,0,0,0,0,1,0,,"Pat Lally ok. Mia Kee ok.",https://www.broxtowe.gov.uk/about-the-council/councillors-committees/your-councillor/councillors-a-z/,2017-09-06
44,Canterbury,D1,LC,39,CON,CON,30,4,3,0,2,0,0,0,0,,,http://democracy.canterbury.gov.uk/mgMemberIndex.aspx?bcr=1,2017-09-05
45,Charnwood,D1,LC,52,CON,CON,41,7,1,0,0,0,0,1,2,,,https://www.charnwood.gov.uk/councillors/all,2017-09-06
